#Creator: wheelEventBuffer
#Creation time: Wed Apr  6 16:03:33 2016
#Time	Angular velocity
#[s]	[rad/s]
0.841740	0.551710
1.360380	0.706385
1.775048	0.834084
2.130808	0.948955
2.446068	1.056992
2.730694	1.160973
2.990888	1.262881
3.231052	1.361706
3.454576	1.456464
3.664136	1.547994
3.861846	1.636519
4.049356	1.719254
4.228350	1.796304
4.400056	1.867039
4.565652	1.931244
4.726062	1.988828
4.882084	2.040976
5.034286	2.088992
5.183090	2.134785
5.328822	2.178394
5.471696	2.220489
5.611878	2.261636
5.749484	2.305418
5.884464	2.349662
6.016876	2.396041
6.146700	2.444211
6.273892	2.495942
6.398470	2.548753
6.520438	2.603113
6.639922	2.656963
6.757094	2.708503
6.872116	2.754768
6.985340	2.797102
7.096912	2.835270
7.207070	2.870083
7.315944	2.901789
7.423662	2.932012
7.530278	2.961308
7.635804	2.992506
7.740270	3.023146
7.843694	3.052461
7.946100	3.082773
8.047470	3.115361
8.147774	3.148898
8.246984	3.184133
8.345070	3.221618
8.441970	3.262433
8.537650	3.304644
8.632094	3.348104
8.725332	3.391550
8.817388	3.435462
8.908276	3.477290
8.998112	3.518415
9.086938	3.556091
9.174872	3.590884
9.261992	3.621933
9.348406	3.649959
9.434164	3.676958
9.519294	3.703835
9.603844	3.728628
9.687852	3.751335
9.771326	3.774682
9.854268	3.800712
9.936632	3.827756
10.018386	3.857365
10.099500	3.888495
10.179930	3.923068
10.259646	3.959059
10.338626	3.996022
10.416878	4.033475
10.494416	4.071952
10.571226	4.107301
10.647410	4.141958
10.722978	4.173099
10.798008	4.202350
10.872528	4.229278
10.946608	4.253558
11.020284	4.275090
11.093590	4.296019
11.166556	4.315967
11.239198	4.333949
11.311526	4.352321
11.383536	4.373406
11.455214	4.392607
11.526566	4.412969
11.597592	4.433646
11.668258	4.457045
11.738550	4.481459
11.808454	4.506660
11.877990	4.530316
11.947194	4.550790
12.016088	4.568260
12.084732	4.586133
12.153104	4.603066
12.221234	4.619717
12.289112	4.636627
12.356758	4.652695
12.424164	4.668043
12.491342	4.684749
12.558282	4.701857
12.624994	4.717248
12.691464	4.734309
12.757682	4.753938
12.823624	4.774312
12.889262	4.797350
12.954580	4.822240
13.019530	4.850682
13.084100	4.880220
13.148264	4.911348
13.212010	4.944898
13.275330	4.980173
13.338212	5.010834
13.400746	5.038964
13.462942	5.063981
13.524838	5.087435
13.586466	5.108447
13.647856	5.127457
13.709030	5.143743
13.770006	5.160303
13.830804	5.175265
13.891434	5.188427
13.951894	5.202518
14.012182	5.219459
14.072268	5.237210
14.132134	5.257544
14.191756	5.280343
14.251104	5.306386
14.310152	5.333955
14.368892	5.362178
14.427326	5.390886
14.485456	5.419716
14.543282	5.444890
14.600860	5.469537
14.658178	5.491911
14.715282	5.512533
14.772170	5.531752
14.828878	5.549341
14.885410	5.565266
14.941778	5.580887
14.998004	5.595200
15.054098	5.606583
15.110062	5.619419
15.165890	5.635144
15.221556	5.651566
15.277048	5.670335
15.332350	5.691497
15.387434	5.714480
15.442294	5.738488
15.496924	5.762698
15.551328	5.786261
15.605514	5.811522
15.659462	5.833536
15.713222	5.855500
15.766788	5.874552
15.820192	5.891738
15.873446	5.907026
15.926576	5.919715
15.979594	5.931338
16.032498	5.944357
16.085296	5.956981
16.137994	5.967164
16.190588	5.977610
16.243078	5.992432
16.295436	6.007788
16.347650	6.025071
16.399706	6.045012
16.451572	6.068365
16.503236	6.092845
16.554684	6.118953
16.605912	6.146247
16.656914	6.175485
16.707674	6.200838
16.758250	6.225167
16.808634	6.244966
16.858866	6.264642
16.908948	6.280924
16.958914	6.295272
17.008772	6.307152
17.058530	6.319586
17.108206	6.329772
17.157808	6.338457
17.207334	6.347165
17.256776	6.360014
17.306122	6.372916
17.355350	6.389767
17.404446	6.407491
17.453390	6.429521
17.502164	6.452499
17.550756	6.477244
17.599162	6.502717
17.647386	6.528934
17.695412	6.551809
17.743290	6.574020
17.791006	6.593336
17.838592	6.611652
17.886052	6.627273
17.933412	6.640722
17.980684	6.650844
18.027876	6.662975
18.074996	6.672598
18.122058	6.679124
18.169060	6.687085
18.216000	6.698492
18.262854	6.710797
18.309616	6.725451
18.356266	6.742773
18.402784	6.763677
18.449156	6.785884
18.495366	6.809417
18.541422	6.833709
18.587316	6.859373
18.633036	6.881007
18.678628	6.902779
18.724080	6.920417
18.769424	6.937533
18.814660	6.952580
18.859806	6.965528
18.904880	6.974807
18.949884	6.985664
18.994830	6.994996
19.039728	7.000296
19.084580	7.006853
19.129380	7.017810
19.174110	7.028800
19.218758	7.043298
19.263310	7.059441
19.307744	7.079486
19.352054	7.101249
19.396218	7.124116
19.440248	7.146805
19.484136	7.171604
19.527876	7.191962
19.571506	7.210780
19.615034	7.224709
19.658474	7.239360
19.701828	7.253735
19.745110	7.263798
19.788334	7.272542
19.831500	7.282657
19.874622	7.290093
19.917702	7.294833
19.960748	7.300596
20.003750	7.310109
20.046692	7.321012
20.089566	7.334001
20.132354	7.349786
20.175038	7.369787
20.217608	7.389549
20.260052	7.412913
20.302368	7.435018
20.344562	7.459380
20.386620	7.477846
20.428598	7.493542
20.470502	7.501415
20.512388	7.501773
20.554292	7.494257
20.596266	7.477846
20.638350	7.453010
20.680576	7.426933
20.722962	7.398249
20.765526	7.364604
20.808266	7.334686
20.851178	7.307389
20.894246	7.280969
20.937464	7.256751
20.980818	7.236025
21.024284	7.218070
21.067856	7.202514
21.111518	7.187026
21.155278	7.171276
21.199138	7.156574
21.243094	7.136415
21.287188	7.115403
21.331412	7.091311
21.375798	7.066428
21.420338	7.039826
21.465058	7.011232
21.509966	6.980076
21.555072	6.950119
21.600386	6.916761
21.645924	6.881309
21.691686	6.848308
21.737664	6.816805
21.783842	6.789110
21.830208	6.761930
21.876746	6.738145
21.923440	6.718260
21.970266	6.698777
22.017224	6.681681
22.064300	6.664388
22.111500	6.649436
22.158810	6.630350
22.206270	6.610261
22.253876	6.587805
22.301654	6.563856
22.349612	6.538174
22.397770	6.509724
22.446148	6.478312
22.494756	6.447731
22.543604	6.415865
22.592712	6.380423
22.642076	6.346139
22.691706	6.314251
22.741580	6.283437
22.791690	6.254913
22.842016	6.229611
22.892534	6.207209
22.943232	6.186186
22.994094	6.166273
23.045126	6.146247
23.096326	6.127307
23.147692	6.103973
23.199268	6.080110
23.251048	6.054098
23.303060	6.026921
23.355314	5.997695
23.407838	5.966258
23.460642	5.932458
23.513746	5.899705
23.567156	5.865120
23.620894	5.828342
23.674962	5.791595
23.729364	5.757629
23.784088	5.724476
23.839108	5.693973
23.894418	5.666040
23.949984	5.641215
24.005786	5.618214
24.061812	5.595798
24.118060	5.574549
24.174528	5.554050
24.231206	5.530973
24.288140	5.506350
24.345336	5.479267
24.402826	5.450747
24.460628	5.419903
24.518778	5.386449
24.577300	5.350488
24.636214	5.314285
24.695546	5.277150
24.755310	5.237035
24.815522	5.197010
24.876186	5.160473
24.937282	5.123777
24.998796	5.089907
25.060706	5.058600
25.122982	5.030251
25.185598	5.003970
25.248542	4.977963
25.311808	4.953006
25.375406	4.928607
25.439320	4.900928
25.503618	4.872953
25.568296	4.841562
25.633416	4.808217
25.698998	4.773151
25.765088	4.735022
25.831726	4.694409
25.898938	4.653798
25.966764	4.611444
26.035230	4.566667
26.104356	4.522359
26.174152	4.480053
26.244616	4.437152
26.315736	4.397157
26.387490	4.359085
26.459838	4.324999
26.532744	4.293201
26.606178	4.262445
26.680148	4.232013
26.754672	4.201226
26.829764	4.166016
26.905544	4.127483
26.982058	4.084871
27.059398	4.040530
27.137598	3.994803
27.216720	3.947617
27.296798	3.899112
27.377870	3.851501
27.459982	3.801908
27.543204	3.749454
27.627576	3.697470
27.713126	3.647416
27.799850	3.597958
27.887734	3.551187
27.976766	3.506477
28.066896	3.464482
28.158110	3.424154
28.250390	3.384680
28.343754	3.345537
28.438232	3.306522
28.533850	3.264671
28.630758	3.220891
28.729034	3.173646
28.828830	3.124098
28.930280	3.070961
29.033590	3.013287
29.138938	2.952569
29.246508	2.890150
29.356488	2.825122
29.469092	2.757283
29.584494	2.688661
29.702874	2.620658
29.824372	2.552522
29.949104	2.485949
30.077180	2.421266
30.208654	2.358907
30.343624	2.297729
30.482234	2.236869
30.624724	2.174684
30.771438	2.111144
30.922776	2.043286
31.079560	1.969379
31.242654	1.887931
31.413356	1.799432
31.593272	1.700861
31.784634	1.592308
31.990304	1.473971
32.214376	1.344998
32.463404	1.199658
32.749002	1.031607
33.096004	0.831496
33.601710	0.550322
34.629068	0.204965
35.660146	0.464465
36.255520	0.718893
36.654806	0.906016
36.978950	1.063145
37.259396	1.198267
37.510614	1.317097
37.740710	1.424681
37.954786	1.519895
38.156442	1.602919
38.348418	1.675695
38.532624	1.739608
38.710606	1.794765
38.883430	1.843030
39.052040	1.885891
39.216902	1.926530
39.378300	1.966839
39.536348	2.008871
39.690956	2.054833
39.841976	2.105851
39.989200	2.161934
40.132496	2.223475
40.271812	2.287856
40.407186	2.354735
40.538786	2.422125
40.666854	2.486657
40.791716	2.547595
40.913690	2.605790
