#Creator: wheelEventBuffer
#Creation time: Wed Apr  6 16:03:33 2016
#Time	Angular velocity
#[s]	[rad/s]
12.408478	12.311281
12.434018	12.291051
12.459608	12.264181
12.485254	12.235522
12.510960	12.206997
12.536730	12.174828
12.562574	12.138137
12.588500	12.099802
12.614504	12.060783
12.640604	12.016496
12.666792	11.972533
12.693094	11.920743
12.719500	11.872988
12.746014	11.823834
12.772638	11.775968
12.799366	11.731115
12.826190	11.691822
12.853102	11.654521
12.880096	11.621754
12.907164	11.590027
12.934300	11.562726
12.961500	11.538096
12.988766	11.507665
13.016104	11.475718
13.043516	11.444782
13.071008	11.411524
13.098584	11.373516
13.126260	11.331672
13.154034	11.289322
13.181924	11.243263
13.209920	11.195982
13.238054	11.141980
13.266314	11.090845
13.294708	11.037849
13.323234	10.987663
13.351888	10.939455
13.380664	10.894689
13.409550	10.856288
13.438538	10.818157
13.467626	10.782512
13.496800	10.751515
13.526062	10.722891
13.555406	10.691508
13.584840	10.653800
13.614374	10.619947
13.644012	10.582742
13.673758	10.540135
13.703628	10.496467
13.733622	10.450378
13.763764	10.399181
13.794042	10.349165
13.824488	10.291531
13.855096	10.237870
13.885860	10.183445
13.916794	10.129595
13.947888	10.076312
13.979136	10.029987
14.010526	9.986626
14.042046	9.946785
14.073694	9.906012
14.105464	9.870531
14.137344	9.837767
14.169342	9.801550
14.201458	9.760743
14.233710	9.722079
14.266098	9.678947
14.298632	9.633832
14.331326	9.586210
14.364184	9.535581
14.397230	9.480905
14.430460	9.425155
14.463904	9.365587
14.497558	9.305114
14.531426	9.245417
14.565514	9.187018
14.599814	9.130944
14.634322	9.077649
14.669022	9.028084
14.703912	8.980598
14.738984	8.934624
14.774220	8.894153
14.809624	8.855044
14.845194	8.810839
14.880940	8.766094
14.916872	8.720348
14.952998	8.674120
14.989326	8.621748
15.025886	8.566267
15.062680	8.509650
15.099740	8.448775
15.137054	8.386974
15.174674	8.319015
15.212592	8.251714
15.250818	8.185068
15.289356	8.119069
15.328206	8.053301
15.367360	7.993874
15.406802	7.936120
15.446522	7.882358
15.486514	7.828929
15.526764	7.780071
15.567270	7.732580
15.608038	7.681156
15.649082	7.627446
15.690414	7.574848
15.732052	7.517211
15.774012	7.457256
15.816326	7.393722
15.859006	7.328526
15.902090	7.258092
15.945588	7.185711
15.989554	7.108962
16.033990	7.031632
16.078914	6.954427
16.124340	6.878295
16.170268	6.802340
16.216696	6.730927
16.263612	6.661845
16.311008	6.594997
16.358882	6.529477
16.407224	6.467376
16.456034	6.406445
16.505328	6.342296
16.555126	6.275153
16.605460	6.208681
16.656358	6.138321
16.707856	6.063914
16.760010	5.986038
16.812854	5.905027
16.866468	5.818195
16.920882	5.729070
16.976200	5.633729
17.032456	5.536822
17.089708	5.439234
17.148008	5.340483
17.207390	5.241404
17.267894	5.145260
17.329520	5.051117
17.392298	4.959104
17.456246	4.867818
17.521382	4.778960
17.587752	4.690344
17.655414	4.598888
17.724454	4.504075
17.794982	4.407521
17.867122	4.305793
17.941040	4.198643
18.016938	4.084977
18.095044	3.964455
18.175664	3.835888
18.259108	3.699909
18.345822	3.554562
18.436242	3.402791
18.530898	3.244039
18.630438	3.078544
18.735616	2.906460
18.847358	2.729209
18.966800	2.545696
19.095494	2.353958
19.235672	2.150244
19.390712	1.930437
19.566486	1.685440
19.775176	1.394280
20.054564	1.008174
20.766244	0.275189
21.482338	0.950379
21.779194	1.300016
22.003230	1.567301
22.192362	1.792308
22.359492	1.993068
22.510892	2.176824
22.650224	2.348082
22.779854	2.511386
22.901400	2.669062
23.016028	2.822128
23.124680	2.969482
23.228134	3.111535
23.327050	3.247863
23.421970	3.379219
23.513334	3.502880
23.601620	3.620181
23.687136	3.731551
23.770200	3.837388
23.851056	3.937030
23.929936	4.032232
24.007000	4.123258
