#Creator: wheelEventBuffer
#Creation time: Wed Apr  6 16:03:33 2016
#Time	Angular velocity
#[s]	[rad/s]
27.017626	2.708223
27.134268	2.679671
27.252222	2.648898
27.371614	2.613986
27.492634	2.578542
27.615298	2.544129
27.739658	2.509099
27.865674	2.476113
27.993252	2.447715
28.122150	2.425491
28.252068	2.409456
28.382688	2.399298
28.513726	2.394799
28.644986	2.391772
28.776456	2.387882
28.908164	2.382955
29.040224	2.375855
29.172832	2.363699
29.306244	2.347205
29.440766	2.325039
29.576732	2.297930
29.714494	2.264537
29.854418	2.228017
29.996748	2.187099
30.141812	2.145340
30.289684	2.104328
30.440402	2.064772
30.593944	2.027462
30.750246	1.992208
30.909096	1.962122
31.070104	1.938776
31.232738	1.922828
31.396484	1.913249
31.560934	1.907001
31.725922	1.901299
31.891460	1.894809
32.057752	1.884941
32.225158	1.869706
32.394194	1.849170
32.565476	1.821361
32.739744	1.786722
32.917842	1.743934
33.100692	1.695482
33.289130	1.641221
33.484064	1.584454
33.685996	1.528547
33.895118	1.476534
34.111314	1.429725
34.334032	1.390319
34.562366	1.359867
34.795148	1.337633
35.031194	1.322921
35.269512	1.312837
35.509592	1.304247
35.751392	1.294733
35.995214	1.283121
36.241742	1.267149
36.492290	1.243515
36.748806	1.209570
37.013990	1.164364
37.291298	1.107419
37.585500	1.036487
37.903538	0.950707
38.255888	0.848011
38.659932	0.729294
39.152662	0.585153
39.916824	0.364211
