#Creator: wheelEventBuffer
#Creation time: Wed Apr  6 16:03:33 2016
#Time	Angular velocity
#[s]	[rad/s]
0.298924	0.834221
0.636052	1.169208
0.884808	1.415565
1.093970	1.623562
1.278312	1.809506
1.444884	1.980678
1.597772	2.143642
1.739564	2.299916
1.872104	2.451343
1.996760	2.598849
2.114550	2.743078
2.226298	2.887759
2.332716	3.025417
2.434532	3.153007
2.532386	3.274129
2.626770	3.388696
2.718104	3.495474
2.806764	3.596310
2.893042	3.689827
2.977216	3.778405
3.059502	3.860209
3.140110	3.938116
3.219172	4.010100
3.296846	4.080944
3.373186	4.151153
3.448270	4.218828
3.522138	4.287576
3.594822	4.357513
3.666306	4.431894
3.736590	4.508989
3.805656	4.588678
3.873506	4.672764
3.940150	4.756962
4.005650	4.837983
4.070062	4.917960
4.133446	4.996966
4.195872	5.070356
4.257420	5.140377
4.318152	5.206830
4.378134	5.270068
4.437428	5.327984
4.496090	5.385157
4.554138	5.438104
4.611634	5.491143
4.668566	5.545618
4.724940	5.600187
4.780748	5.658081
4.835974	5.718849
4.890606	5.782001
4.944648	5.845694
4.998094	5.910360
5.050940	5.978747
5.103178	6.051066
5.154846	6.112048
5.205974	6.176699
5.256592	6.238518
5.306724	6.295777
5.356414	6.350501
5.405688	6.402007
5.454578	6.451174
5.503112	6.494920
5.551326	6.539535
5.599218	6.578425
5.646834	6.618617
5.694150	6.660150
5.741174	6.701921
5.787890	6.746827
5.834290	6.793808
5.880360	6.844428
5.926088	6.896414
5.971460	6.950734
6.016464	7.010919
6.061088	7.069609
6.105360	7.124762
6.149284	7.179470
6.192882	7.233693
6.236168	7.283333
6.279164	7.330578
6.321896	7.374284
6.364376	7.417814
6.406624	7.454424
6.448668	7.492470
6.490504	7.525133
6.532158	7.558446
6.573632	7.592790
6.614910	7.628187
6.655984	7.667658
6.696844	7.709430
6.737468	7.756253
6.777844	7.805199
6.817962	7.856339
6.857802	7.913730
6.897362	7.970349
6.936652	8.022453
6.975688	8.073998
7.014476	8.125789
7.053030	8.172292
7.091368	8.218041
7.129504	8.257787
7.167458	8.298359
7.205238	8.333137
7.242864	8.368208
7.280334	8.398184
7.317672	8.430185
7.354866	8.463798
7.391908	8.497681
7.428792	8.536473
7.465506	8.576557
7.502040	8.620802
7.538386	8.666941
7.574532	8.715026
7.610468	8.768540
7.646196	8.819248
7.681726	8.866040
7.717066	8.912825
7.752224	8.959596
7.787210	9.001182
7.822038	9.040034
7.856720	9.077124
7.891266	9.111876
7.925690	9.141040
7.960004	9.171998
7.994206	9.196161
8.028320	9.223160
8.062330	9.251952
8.096232	9.280924
8.130022	9.312286
8.163692	9.348309
8.197226	9.387416
8.230618	9.429681
8.263856	9.472329
8.296932	9.523441
8.329842	9.570440
8.362596	9.612608
8.395206	9.655743
8.427672	9.698070
8.460004	9.736542
8.492212	9.772280
8.524308	9.804608
8.556302	9.835919
8.588200	9.860617
8.620020	9.888551
8.651750	9.911012
8.683414	9.932948
8.715002	9.958767
8.746506	9.984086
8.777922	10.015279
8.809238	10.047309
8.840446	10.084722
8.871538	10.124372
8.902506	10.164335
8.933342	10.210585
8.964044	10.255918
8.994622	10.293554
9.025078	10.335546
9.055420	10.374456
9.085652	10.409518
9.115786	10.442042
9.145834	10.469184
9.175798	10.499975
9.205690	10.521074
9.235518	10.546504
9.265278	10.562816
9.294996	10.581316
9.324652	10.604890
9.354246	10.626413
9.383770	10.653800
9.413218	10.682782
9.442578	10.715576
9.471846	10.752987
9.501010	10.789918
9.530064	10.835320
9.559002	10.878091
9.587838	10.913613
9.616572	10.951658
9.645208	10.990738
9.673754	11.021585
9.702218	11.052606
9.730612	11.078329
9.758936	11.104958
9.787202	11.123832
9.815420	11.145142
9.843584	11.161773
9.871710	11.178454
9.899790	11.197579
9.927818	11.219974
9.955786	11.243263
9.983694	11.270692
10.011524	11.304759
10.039272	11.339034
10.066934	11.374340
10.094498	11.419821
10.121962	11.459811
10.149336	11.493351
10.176624	11.531319
10.203830	11.566132
10.230956	11.597728
10.258012	11.626055
10.285004	11.651063
10.311942	11.675311
10.338830	11.693563
10.365674	11.714493
10.392474	11.727612
10.419244	11.743394
10.445976	11.761859
10.472664	11.781267
10.499302	11.804286
10.525882	11.832741
10.552398	11.863125
10.578842	11.897268
10.605206	11.932515
10.631488	11.975271
10.657680	12.014658
10.683794	12.046908
10.709832	12.083049
10.735796	12.117537
10.761692	12.147524
10.787526	12.173885
10.813308	12.198465
10.839038	12.221243
10.864728	12.236475
10.890382	12.257482
10.916000	12.267054
10.941594	12.283362
10.967154	12.298750
10.992682	12.314176
11.018170	12.335451
11.043614	12.357771
11.069004	12.387984
11.094334	12.417362
11.119598	12.451814
11.144786	12.491422
11.169898	12.531283
11.194938	12.562351
11.219912	12.596602
11.244818	12.631042
11.269664	12.658525
11.294458	12.685103
11.319202	12.706652
11.343906	12.729306
11.368572	12.743764
11.393208	12.762401
11.417814	12.770702
11.442400	12.785254
11.466958	12.800883
11.491484	12.816550
11.515974	12.837499
11.540424	12.860622
11.564822	12.890172
11.589166	12.921984
11.613444	12.955021
11.637654	12.996825
11.661794	13.033491
11.685872	13.062755
11.709900	13.088879
11.733888	13.106352
11.757858	13.110728
11.781832	13.101980
11.805834	13.076892
11.829890	13.044314
11.854014	13.003281
11.878208	12.967855
11.902472	12.924110
11.926816	12.885942
11.951234	12.847999
11.975726	12.807145
12.000288	12.770702
12.024922	12.734466
12.049618	12.706652
12.074362	12.685103
12.099146	12.665669
12.123964	12.651388
12.148812	12.636122
12.173702	12.608736
12.198642	12.584492
12.223630	12.560342
12.248674	12.530283
12.273772	12.503354
12.298934	12.469606
12.324160	12.438010
12.349464	12.394826
12.374854	12.353884
12.400330	12.307422
12.425900	12.264181
12.451560	12.223145
12.477302	12.184272
12.503122	12.150343
