#Creator: wheelEventBuffer
#Creation time: Wed Apr  6 16:03:33 2016
#Time	Angular velocity
#[s]	[rad/s]
0.468838	1.031823	0.04
0.744284	1.368373	0.04
0.958268	1.624603	0.04
1.141458	1.839211	0.04
1.305024	2.026024	0.04
1.454446	2.196027	0.04
1.592956	2.353641	0.04
1.722608	2.503102	0.04
1.844800	2.647960	0.04
1.960530	2.789601	0.04
2.070532	2.929060	0.04
2.175412	3.068561	0.04
2.275674	3.205053	0.04
2.371760	3.339704	0.04
2.464108	3.470836	0.04
2.553118	3.594582	0.04
2.639156	3.712677	0.04
2.722542	3.826917	0.04
2.803542	3.935058	0.04
2.882404	4.036169	0.04
2.959360	4.132152	0.04
3.034592	4.222684	0.04
3.108282	4.307446	0.04
3.180542	4.389048	0.04
3.251534	4.464900	0.04
3.321330	4.538955	0.04
3.389994	4.612392	0.04
3.457578	4.685587	0.04
3.524096	4.760422	0.04
3.589560	4.838877	0.04
3.653942	4.920270	0.04
3.717252	5.005086	0.04
3.779498	5.090402	0.04
3.840692	5.177824	0.04
3.900872	5.265474	0.04
3.960082	5.348666	0.04
4.018384	5.429457	0.04
4.075830	5.509440	0.04
4.132472	5.586047	0.04
4.188354	5.658692	0.04
4.243550	5.727190	0.04
4.298090	5.793731	0.04
4.352044	5.855063	0.04
4.405418	5.915479	0.04
4.458290	5.971474	0.04
4.510656	6.027614	0.04
4.562532	6.084113	0.04
4.613930	6.140481	0.04
4.664846	6.199370	0.04
4.715274	6.261396	0.04
4.765184	6.326713	0.04
4.814588	6.392887	0.04
4.863468	6.460195	0.04
4.911832	6.531921	0.04
4.959666	6.604147	0.04
5.006994	6.674016	0.04
5.053836	6.739880	0.04
5.100226	6.805877	0.04
5.146176	6.869272	0.04
5.191718	6.928354	0.04
5.236884	6.984732	0.04
5.281688	7.038879	0.04
5.326170	7.089391	0.04
5.370324	7.138685	0.04
5.414214	7.181440	0.04
5.457854	7.218070	0.04
5.501240	7.260105	0.04
5.544330	7.317601	0.04
5.587128	7.369787	0.04
5.629630	7.411864	0.04
5.671838	7.471444	0.04
5.713736	7.528379	0.04
5.755318	7.581063	0.04
5.796574	7.644894	0.04
5.837496	7.712458	0.04
5.878086	7.770065	0.04
5.918360	7.828929	0.04
5.958334	7.890277	0.04
5.998024	7.943746	0.04
6.037446	7.993874	0.04
6.076626	8.044228	0.04
6.115566	8.091466	0.04
6.154298	8.133784	0.04
6.192818	8.175695	0.04
6.231160	8.214173	0.04
6.269318	8.252581	0.04
6.307298	8.290038	0.04
6.345106	8.328277	0.04
6.382732	8.369992	0.04
6.420168	8.414379	0.04
6.457402	8.460151	0.04
6.494420	8.511033	0.04
6.531218	8.564865	0.04
6.567772	8.621748	0.04
6.604090	8.680831	0.04
6.640174	8.733925	0.04
6.676032	8.787180	0.04
6.711674	8.842085	0.04
6.747112	8.890629	0.04
6.782360	8.934624	0.04
6.817436	8.980084	0.04
6.852338	9.021343	0.04
6.887098	9.058802	0.04
6.921704	9.094467	0.04
6.956196	9.125639	0.04
6.990560	9.158094	0.04
7.024798	9.192394	0.04
7.058914	9.224785	0.04
7.092902	9.260679	0.04
7.126752	9.300707	0.04
7.160450	9.344416	0.04
7.193988	9.390222	0.04
7.227360	9.437046	0.04
7.260556	9.488350	0.04
7.293570	9.545432	0.04
7.326400	9.594407	0.04
7.359064	9.642111	0.04
7.391562	9.690890	0.04
7.423908	9.735939	0.04
7.456106	9.778364	0.04
7.488174	9.817477	0.04
7.520112	9.854431	0.04
7.551942	9.887929	0.04
7.583658	9.921654	0.04
7.615284	9.948045	0.04
7.646816	9.977745	0.04
7.678258	10.005709	0.04
7.709606	10.036396	0.04
7.740858	10.067916	0.04
7.772010	10.102884	0.04
7.803044	10.140712	0.04
7.833962	10.182124	0.04
7.864750	10.224542	0.04
7.895400	10.273357	0.04
7.925906	10.324677	0.04
7.956266	10.372400	0.04
7.986490	10.416421	0.04
8.016580	10.464302	0.04
8.046546	10.506296	0.04
8.076392	10.545088	0.04
8.106136	10.580603	0.04
8.135778	10.615641	0.04
8.165334	10.646579	0.04
8.194798	10.675522	0.04
8.224198	10.699519	0.04
8.253524	10.725088	0.04
8.282780	10.750779	0.04
8.311964	10.778073	0.04
8.341070	10.807736	0.04
8.370094	10.841303	0.04
