#Creator: wheelEventBuffer
#Creation time: Wed Apr  6 16:03:33 2016
#Time	Angular velocity
#[s]	[rad/s]
0.489064	0.530456
1.012124	0.864153
1.345102	1.084579
1.616498	1.264955
1.852126	1.424216
2.062998	1.571897
2.255006	1.713852
2.431876	1.850499
2.596328	1.980453
2.750566	2.102806
2.896276	2.217605
3.034746	2.325831
3.167088	2.428303
3.294088	2.524138
3.416472	2.614464
3.534820	2.698870
3.649638	2.776976
3.761336	2.851017
3.870214	2.921923
3.976532	2.990455
4.080486	3.055965
4.182212	3.121180
4.281826	3.187751
4.379390	3.253850
4.474964	3.321063
4.568614	3.389501
4.660358	3.460056
4.750242	3.531546
4.838322	3.603240
4.924674	3.674377
5.009390	3.745252
5.092530	3.812705
5.174262	3.877648
5.254666	3.938313
5.333870	3.996530
5.411952	4.051368
5.489032	4.102260
5.565176	4.150385
5.640438	4.198194
5.714862	4.245166
5.788490	4.289918
5.861330	4.335623
5.933394	4.383291
6.004684	4.430894
6.075170	4.482866
6.144848	4.535024
6.213710	4.589349
6.281750	4.645677
6.348970	4.701716
6.415398	4.757682
6.481058	4.814111
6.545958	4.866913
6.610212	4.914421
6.673834	4.961924
6.736882	5.004767
6.799412	5.044628
6.861452	5.083319
6.923036	5.120437
6.984170	5.157423
7.044858	5.194432
7.105154	5.229886
7.165014	5.264768
7.224480	5.301192
7.283534	5.338487
7.342156	5.379255
7.400340	5.420277
7.458064	5.463639
7.515314	5.511373
7.572076	5.558177
7.628350	5.606383
7.684160	5.655432
7.739486	5.699758
7.794396	5.744574
7.848894	5.785409
7.903014	5.825099
7.956774	5.862274
8.010204	5.899705
8.063304	5.932010
8.116120	5.965578
8.168658	5.994719
8.220950	6.021838
8.272992	6.049901
8.324788	6.081051
8.376312	6.113237
8.427558	6.147209
8.478516	6.182777
8.529162	6.222701
8.579478	6.264892
8.629458	6.306393
8.679110	6.347678
8.728454	6.389247
8.777480	6.425050
8.826240	6.462853
8.874726	6.495725
8.922970	6.528934
8.970972	6.560566
9.018746	6.591952
9.066304	6.620290
9.113652	6.649436
9.160804	6.677136
9.207776	6.700778
9.254572	6.724299
9.301182	6.755242
9.347600	6.782075
9.393810	6.813257
9.439810	6.846218
9.485568	6.883721
9.531078	6.923468
9.576320	6.962750
