#Creator: pendulumdriveEventBuffer
#Creation time: Wed Apr 20 15:41:28 2016
#Time	Pos
#[s]	[au]
0.050	554
0.100	552
0.151	549
0.201	548
0.252	544
0.302	542
0.352	540
0.402	538
0.452	538
0.503	536
0.553	535
0.603	535
0.653	536
0.703	536
0.753	537
0.804	539
0.854	541
0.904	544
0.954	545
1.004	548
1.055	550
1.106	551
1.156	556
1.206	556
1.256	559
1.306	559
1.357	560
1.407	561
1.457	561
1.507	560
1.557	561
1.607	558
1.658	557
1.708	555
1.758	555
1.808	554
1.858	552
1.908	548
1.960	550
2.010	547
2.060	547
2.110	545
2.160	545
2.211	546
2.261	545
2.311	544
2.361	546
2.411	546
2.461	546
2.512	546
2.562	546
2.612	547
2.662	546
2.712	544
2.762	546
2.813	545
2.864	545
2.914	544
2.964	542
3.014	543
3.065	542
3.115	540
3.165	542
3.215	543
3.265	544
3.315	543
3.366	546
3.416	547
3.466	549
3.516	548
3.566	553
3.616	554
3.667	555
3.717	557
3.768	559
3.818	560
3.868	561
3.919	558
3.969	561
4.019	560
4.069	559
4.119	558
4.169	555
4.220	554
4.270	552
4.320	548
4.370	547
4.420	546
4.471	545
4.521	543
4.571	541
4.621	540
4.672	539
4.722	540
4.773	539
4.823	540
4.873	540
4.923	541
4.973	541
5.023	543
5.074	543
5.124	543
5.174	545
5.224	546
5.274	547
5.325	548
5.375	547
5.425	549
5.475	549
5.526	548
5.576	550
5.627	551
5.677	550
5.727	552
5.777	551
5.827	553
5.877	552
5.928	554
5.978	553
6.028	554
6.078	555
6.128	555
6.179	556
6.229	557
6.279	556
6.329	554
6.379	555
6.430	555
6.481	553
6.531	553
6.581	552
6.631	551
6.681	548
6.732	546
6.782	543
6.832	543
6.882	540
6.932	539
6.982	537
7.033	537
7.083	536
7.133	536
7.183	536
7.233	537
7.283	539
7.335	538
7.385	539
7.435	543
7.485	544
7.535	545
7.586	546
7.636	549
7.686	552
7.736	553
7.786	554
7.836	558
7.887	558
7.937	558
7.987	559
8.037	559
8.087	559
8.137	558
8.188	557
8.239	558
8.289	555
8.339	554
8.389	553
8.440	551
8.490	551
8.540	548
8.590	546
8.640	546
8.690	543
8.741	544
8.791	544
8.841	543
8.891	543
8.941	542
8.991	542
9.042	543
9.092	543
9.143	542
9.193	543
9.243	542
9.294	543
9.344	542
9.394	544
9.444	545
9.494	544
9.544	544
9.595	544
9.645	544
9.695	545
9.745	545
9.795	544
9.845	547
9.896	547
9.946	549
9.996	550
10.047	551
10.097	554
10.148	554
10.198	552
10.248	558
10.298	558
10.348	558
10.398	558
10.449	558
10.499	557
10.549	557
10.599	552
10.649	555
10.700	553
10.750	552
10.800	550
10.850	548
10.900	547
10.951	545
11.002	544
11.052	541
11.102	540
11.152	539
11.202	538
11.252	537
11.303	539
11.353	539
11.403	540
11.453	539
11.503	540
11.554	541
11.604	542
11.654	543
11.704	545
11.754	545
11.804	547
11.856	547
11.906	549
11.956	549
12.006	550
12.056	551
12.106	553
12.157	552
12.207	552
12.257	553
12.307	553
12.357	554
12.408	554
12.458	554
12.508	554
12.558	554
12.608	554
12.658	554
12.709	554
12.760	555
12.810	553
12.860	552
12.910	553
12.960	551
13.011	550
13.061	549
13.111	549
13.161	547
13.211	547
13.262	545
13.312	545
13.362	544
13.412	542
13.462	541
13.512	539
13.563	540
13.613	538
13.664	538
13.714	539
13.764	538
13.815	539
13.865	539
13.915	540
13.965	542
14.015	542
14.065	542
14.116	545
14.166	547
14.216	548
14.266	551
14.316	552
14.366	554
14.417	555
14.467	556
14.517	558
14.568	558
14.618	558
14.669	558
14.719	558
14.769	557
14.819	557
14.869	556
14.919	555
14.970	553
15.020	551
15.070	550
15.120	549
15.170	547
15.220	545
15.271	544
15.321	543
15.371	542
15.421	542
15.472	542
15.523	540
15.573	541
15.623	539
15.673	540
15.723	542
15.773	541
15.824	542
15.874	542
15.924	542
15.974	543
16.024	543
16.074	547
16.125	545
16.175	545
16.225	545
16.275	544
16.325	545
16.377	547
16.427	548
16.477	550
16.527	550
16.577	550
16.627	551
16.678	553
16.728	553
16.778	555
16.828	555
16.878	552
16.928	556
16.979	556
17.029	556
17.079	556
17.129	555
17.179	555
17.230	554
17.281	550
17.331	551
17.381	550
17.431	549
17.481	547
17.532	543
17.582	544
17.632	542
17.682	538
17.732	540
17.783	538
17.833	540
17.883	538
17.933	538
17.983	538
18.033	538
18.084	538
18.135	538
18.185	539
18.235	543
18.285	543
18.335	543
18.386	545
18.436	546
18.486	545
18.536	548
18.586	549
18.637	550
18.687	551
18.737	552
18.787	553
18.837	553
18.887	554
18.938	554
18.988	554
19.039	555
19.089	554
19.139	554
19.189	554
19.240	555
19.290	554
19.340	552
19.390	552
19.440	552
19.491	551
19.541	549
19.591	548
19.641	548
19.691	547
19.741	545
19.792	545
19.842	544
19.892	541
19.943	540
19.993	541
20.044	539
20.094	540
20.144	538
20.194	538
20.244	538
20.294	538
20.345	539
20.395	540
20.445	540
20.495	542
20.545	541
20.595	543
20.646	545
20.696	546
20.746	547
20.796	549
20.847	550
20.898	551
20.948	553
20.998	554
21.048	554
21.098	556
21.148	556
21.199	558
21.249	557
21.299	557
21.349	556
21.399	556
21.449	554
21.500	553
21.550	553
21.600	551
21.650	549
21.700	548
21.752	546
21.802	545
21.852	544
21.902	543
21.952	541
22.002	541
22.053	540
22.103	540
22.153	539
22.203	539
22.253	540
22.303	539
22.354	539
22.404	541
22.454	541
22.504	542
22.554	542
22.605	542
22.656	543
22.706	544
22.756	544
22.806	546
22.856	547
22.907	546
22.957	547
23.007	548
23.057	550
23.107	551
23.157	550
23.208	553
23.258	553
23.308	553
23.358	555
23.408	556
23.459	556
23.509	556
23.560	557
23.610	555
23.660	554
23.710	553
23.761	552
23.811	551
23.861	551
23.911	548
23.961	544
24.012	545
24.062	543
24.112	543
24.162	543
24.212	539
24.262	539
24.313	538
24.363	536
24.413	538
24.464	537
24.514	539
24.564	538
24.615	538
24.665	539
24.715	540
24.765	540
24.815	542
24.866	543
24.916	546
24.966	546
25.016	547
25.066	549
25.116	549
25.167	552
25.217	551
25.267	553
25.317	554
25.368	554
25.418	555
25.469	556
25.519	555
25.569	555
25.619	555
25.669	554
25.720	553
25.770	553
25.820	552
25.870	551
25.920	550
25.970	549
26.021	548
26.071	547
26.121	547
26.171	545
26.221	544
26.272	543
26.323	541
26.373	543
26.423	540
26.473	540
26.523	539
