#Creator: pendulumSimpleEventBuffer
#Creation time: Wed Mar  2 16:15:06 2016
#Id	Edge	Time
#[]	[b]	[s]
0	0	0.240912
1	1	0.253664
2	0	1.303060
3	1	1.315852
4	0	2.400160
5	1	2.412964
6	0	3.462100
7	1	3.474940
8	0	4.559092
9	1	4.571960
10	0	5.620832
11	1	5.633736
12	0	6.717772
13	1	6.730700
14	0	7.779284
15	1	7.792252
16	0	8.876180
17	1	8.889168
18	0	9.937476
19	1	9.950504
20	0	11.034336
21	1	11.047388
22	0	12.095424
23	1	12.108520
24	0	13.192236
25	1	13.205352
26	0	14.253128
27	1	14.266280
28	0	15.349896
29	1	15.363072
30	0	16.410588
31	1	16.423808
32	0	17.507312
33	1	17.520548
34	0	18.567796
35	1	18.581072
36	0	19.664484
37	1	19.677784
38	0	20.724756
39	1	20.738096
40	0	21.821412
41	1	21.834776
42	0	22.881472
43	1	22.894876
44	0	23.978116
45	1	23.991544
46	0	25.037944
47	1	25.051408
48	0	26.134572
49	1	26.148056
50	0	27.194200
51	1	27.207732
52	0	28.290792
53	1	28.304344
54	0	29.350216
55	1	29.363808
56	0	30.446780
57	1	30.460396
58	0	31.506028
59	1	31.519684
60	0	32.602524
61	1	32.616204
62	0	33.661608
63	1	33.675328
64	0	34.758068
65	1	34.771808
66	0	35.816936
67	1	35.830716
68	0	36.913380
69	1	36.927188
70	0	37.972052
71	1	37.985892
72	0	39.068476
73	1	39.082348
74	0	40.126948
75	1	40.140856
76	0	41.223352
77	1	41.237284
78	0	42.281616
79	1	42.295592
80	0	43.378004
81	1	43.392000
82	0	44.436064
83	1	44.450104
84	0	45.532428
85	1	45.546484
86	0	46.590292
87	1	46.604396
88	0	47.686636
89	1	47.700764
90	0	48.744300
91	1	48.758472
92	0	49.840644
93	1	49.854836
94	0	50.898120
95	1	50.912352
96	0	51.994452
97	1	52.008712
98	0	53.051736
99	1	53.066036
100	0	54.148052
101	1	54.162376
102	0	55.205148
103	1	55.219508
104	0	56.301448
105	1	56.315832
106	0	57.358348
107	1	57.372776
108	0	58.454652
109	1	58.469104
110	0	59.511356
111	1	59.525848
112	0	60.607636
113	1	60.622152
114	0	61.664164
115	1	61.678724
116	0	62.760432
117	1	62.775016
118	0	63.816792
119	1	63.831412
120	0	64.913036
121	1	64.927684
122	0	65.969204
123	1	65.983896
124	0	67.065456
125	1	67.080172
126	0	68.121436
127	1	68.136196
128	0	69.217676
129	1	69.232460
130	0	70.273492
131	1	70.288312
132	0	71.369724
133	1	71.384576
134	0	72.425324
135	1	72.440212
136	0	73.521572
137	1	73.536492
138	0	74.576996
139	1	74.591952
140	0	75.673252
141	1	75.688236
142	0	76.728480
143	1	76.743504
144	0	77.824732
145	1	77.839784
146	0	78.879760
147	1	78.894848
148	0	79.976020
149	1	79.991140
150	0	81.030868
151	1	81.046032
152	0	82.127124
153	1	82.142312
154	0	83.181792
155	1	83.197016
156	0	84.278080
157	1	84.293340
158	0	85.332556
159	1	85.347856
160	0	86.428852
161	1	86.444180
162	0	87.483152
163	1	87.498520
164	0	88.579452
165	1	88.594848
166	0	89.633588
167	1	89.649024
168	0	90.729880
169	1	90.745340
170	0	91.783840
171	1	91.799348
172	0	92.880160
173	1	92.895688
174	0	93.933928
175	1	93.949500
176	0	95.030256
177	1	95.045860
178	0	96.083848
179	1	96.099488
180	0	97.180188
181	1	97.195860
182	0	98.233604
183	1	98.249320
184	0	99.329960
185	1	99.345704
186	0	100.383200
187	1	100.398976
188	0	101.479584
189	1	101.495396
190	0	102.532640
191	1	102.548488
192	0	103.629036
193	1	103.644916
194	0	104.681924
195	1	104.697848
196	0	105.778336
197	1	105.794284
198	0	106.831044
199	1	106.847040
200	0	107.927476
201	1	107.943496
202	0	108.980008
203	1	108.996072
204	0	110.076460
205	1	110.092556
206	0	111.128816
207	1	111.144956
208	0	112.225288
209	1	112.241444
210	0	113.277464
211	1	113.293672
212	0	114.373964
213	1	114.390192
214	0	115.425960
215	1	115.442240
216	0	116.522480
217	1	116.538788
218	0	117.574312
219	1	117.590664
220	0	118.670840
221	1	118.687220
222	0	119.722516
223	1	119.738936
224	0	120.819068
225	1	120.835520
226	0	121.870556
227	1	121.887048
228	0	122.967152
229	1	122.983672
230	0	124.018456
231	1	124.035028
232	0	125.115080
233	1	125.131684
234	0	126.166224
235	1	126.182864
236	0	127.262884
237	1	127.279552
238	0	128.313856
239	1	128.330572
240	0	129.410548
241	1	129.427288
242	0	130.461360
243	1	130.478144
244	0	131.558076
245	1	131.574892
246	0	132.608720
247	1	132.625580
248	0	133.705472
249	1	133.722364
250	0	134.755944
251	1	134.772868
252	0	135.852720
253	1	135.869680
254	0	136.903020
255	1	136.920028
256	0	137.999832
257	1	138.016868
258	0	139.049960
259	1	139.067044
260	0	140.146808
261	1	140.163920
262	0	141.196768
263	1	141.213928
264	0	142.293648
265	1	142.310836
266	0	143.343440
267	1	143.360672
268	0	144.440364
269	1	144.457624
270	0	145.489984
271	1	145.507296
272	0	146.586944
273	1	146.604280
274	0	147.636400
275	1	147.653784
276	0	148.733404
277	1	148.750816
278	0	149.782696
279	1	149.800156
280	0	150.879732
281	1	150.897216
282	0	151.928856
283	1	151.946388
284	0	153.025924
285	1	153.043496
286	0	154.074888
287	1	154.092508
288	0	155.172000
289	1	155.189640
290	0	156.220792
291	1	156.238484
292	0	157.317948
293	1	157.335656
294	0	158.366584
295	1	158.384348
296	0	159.463788
297	1	159.481576
298	0	160.512248
299	1	160.530092
300	0	161.609500
301	1	161.627368
302	0	162.657804
303	1	162.675732
304	0	163.755084
305	1	163.773032
306	0	164.803228
307	1	164.821232
308	0	165.900548
309	1	165.918576
310	0	166.948528
311	1	166.966608
312	0	168.045888
313	1	168.063992
314	0	169.093692
315	1	169.111852
316	0	170.191112
317	1	170.209292
318	0	171.238744
319	1	171.256980
320	0	172.336204
321	1	172.354468
322	0	173.383660
323	1	173.401984
324	0	174.481192
325	1	174.499532
326	0	175.528488
327	1	175.546884
328	0	176.626072
329	1	176.644496
330	0	177.673188
331	1	177.691668
332	0	178.770836
333	1	178.789332
334	0	179.817796
335	1	179.836356
336	0	180.915488
337	1	180.934068
338	0	181.962272
339	1	181.980908
340	0	183.060024
341	1	183.078684
342	0	184.106648
343	1	184.125364
344	0	185.204452
345	1	185.223192
346	0	186.250912
347	1	186.269712
348	0	187.348768
349	1	187.367592
350	0	188.395052
351	1	188.413936
352	0	189.492984
353	1	189.511884
354	0	190.539108
355	1	190.558068
356	0	191.637084
357	1	191.656064
358	0	192.683040
359	1	192.702084
360	0	193.781076
361	1	193.800136
362	0	194.826868
363	1	194.845996
364	0	195.924960
365	1	195.944112
366	0	196.970608
367	1	196.989820
368	0	198.068764
369	1	198.088000
370	0	199.114264
371	1	199.133556
372	0	200.212464
373	1	200.231780
374	0	201.257892
375	1	201.277272
376	0	202.356084
377	1	202.375484
378	0	203.401268
379	1	203.420736
380	0	204.499564
381	1	204.519052
382	0	205.544592
383	1	205.564136
384	0	206.642956
385	1	206.662528
386	0	207.687780
387	1	207.707416
388	0	208.786216
389	1	208.805872
390	0	209.830840
391	1	209.850556
392	0	210.929376
393	1	210.949124
394	0	211.973844
395	1	211.993648
396	0	213.072452
397	1	213.092284
398	0	214.116752
399	1	214.136648
400	0	215.215436
401	1	215.235348
402	0	216.259580
403	1	216.279556
404	0	217.358332
405	1	217.378336
406	0	218.402312
407	1	218.422380
408	0	219.501128
409	1	219.521220
410	0	220.544948
411	1	220.565092
412	0	221.643828
413	1	221.664004
414	0	222.687468
415	1	222.707708
416	0	223.786432
417	1	223.806700
418	0	224.829916
419	1	224.850252
420	0	225.928948
421	1	225.949300
422	0	226.972288
423	1	226.992704
424	0	228.071380
425	1	228.091816
426	0	229.114552
427	1	229.135048
428	0	230.213748
429	1	230.234276
430	0	231.256716
431	1	231.277300
432	0	232.356008
433	1	232.376624
434	0	233.398808
435	1	233.419484
436	0	234.498176
437	1	234.518884
438	0	235.540852
439	1	235.561620
440	0	236.640216
441	1	236.661012
442	0	237.682700
443	1	237.703560
444	0	238.782216
445	1	238.803104
446	0	239.824508
447	1	239.845456
448	0	240.924116
449	1	240.945088
450	0	241.966228
451	1	241.987268
452	0	243.065904
453	1	243.086968
454	0	244.107848
455	1	244.128976
456	0	245.207600
457	1	245.228760
458	0	246.249388
459	1	246.270604
460	0	247.349220
461	1	247.370464
462	0	248.390832
463	1	248.412140
464	0	249.490752
465	1	249.512088
466	0	250.532212
467	1	250.553608
468	0	251.632180
469	1	251.653612
470	0	252.673504
471	1	252.694996
472	0	253.773540
473	1	253.795068
474	0	254.814712
475	1	254.836296
476	0	255.914836
477	1	255.936448
478	0	256.955828
479	1	256.977508
480	0	258.056012
481	1	258.077728
482	0	259.096872
483	1	259.118644
484	0	260.197156
485	1	260.218956
486	0	261.237844
487	1	261.259712
488	0	262.338220
489	1	262.360116
490	0	263.378740
491	1	263.400700
492	0	264.479224
493	1	264.501220
494	0	265.519536
495	1	265.541584
496	0	266.620124
497	1	266.642204
498	0	267.660276
499	1	267.682416
500	0	268.760928
501	1	268.783112
502	0	269.800916
503	1	269.823156
504	0	270.901660
505	1	270.923940
506	0	271.941488
507	1	271.963820
508	0	273.042324
509	1	273.064700
510	0	274.081976
511	1	274.104408
512	0	275.182920
513	1	275.205388
514	0	276.222408
515	1	276.244936
516	0	277.323440
517	1	277.346004
518	0	278.362748
519	1	278.385372
520	0	279.463868
521	1	279.486528
522	0	280.503024
523	1	280.525744
524	0	281.604192
525	1	281.626952
526	0	282.643216
527	1	282.666036
528	0	283.744432
529	1	283.767280
530	0	284.783308
531	1	284.806228
532	0	285.884616
533	1	285.907560
534	0	286.923320
535	1	286.946324
536	0	288.024700
537	1	288.047744
538	0	289.063284
539	1	289.086392
540	0	290.164768
541	1	290.187904
542	0	291.203164
543	1	291.226380
544	0	292.304748
545	1	292.327996
546	0	293.342960
547	1	293.366272
548	0	294.444652
549	1	294.468000
550	0	295.482696
551	1	295.506104
552	0	296.584492
553	1	296.607936
554	0	297.622384
555	1	297.645896
556	0	298.724284
557	1	298.747836
558	0	299.761996
559	1	299.785612
560	0	300.864000
561	1	300.887648
562	0	301.901528
563	1	301.925240
564	0	303.003644
565	1	303.027396
566	0	304.040996
567	1	304.064816
568	0	305.143216
569	1	305.167072
570	0	306.180392
571	1	306.204304
572	0	307.282724
573	1	307.306672
574	0	308.319708
575	1	308.343732
576	0	309.422148
577	1	309.446208
578	0	310.458968
579	1	310.483084
580	0	311.561528
581	1	311.585684
582	0	312.598144
583	1	312.622372
584	0	313.700816
585	1	313.725080
586	0	314.737260
587	1	314.761620
588	0	315.840040
