#Creator: pendulumSimpleEventBuffer
#Creation time: Wed Mar  2 16:41:55 2016
#Id	Edge	Time
#[]	[b]	[s]
348	0	187.266332
349	1	187.285092
350	0	188.360220
351	1	188.379016
352	0	189.406296
353	1	189.425144
354	0	190.500244
355	1	190.519124
356	0	191.546160
357	1	191.565092
358	0	192.640152
359	1	192.659112
360	0	193.685908
361	1	193.704924
362	0	194.779964
363	1	194.799020
364	0	195.825564
365	1	195.844668
366	0	196.919688
367	1	196.938828
368	0	197.965140
369	1	197.984336
370	0	199.059328
371	1	199.078552
372	0	200.104608
373	1	200.123888
374	0	201.198860
375	1	201.218172
376	0	202.243980
377	1	202.263348
378	0	203.338280
379	1	203.357676
380	0	204.383252
381	1	204.402704
382	0	205.477608
383	1	205.497088
384	0	206.522428
385	1	206.541972
386	0	207.616840
387	1	207.636420
388	0	208.661504
389	1	208.681140
390	0	209.755964
391	1	209.775636
392	0	210.800472
393	1	210.820192
394	0	211.895004
395	1	211.914764
396	0	212.939328
397	1	212.959136
398	0	214.033960
399	1	214.053804
400	0	215.078108
401	1	215.098004
402	0	216.172824
403	1	216.192752
404	0	217.216804
405	1	217.236788
406	0	218.311612
407	1	218.331636
408	0	219.355424
409	1	219.375500
410	0	220.450276
411	1	220.470392
412	0	221.493936
413	1	221.514104
414	0	222.588828
415	1	222.609028
416	0	223.632344
417	1	223.652600
418	0	224.727324
419	1	224.747620
420	0	225.770660
421	1	225.791004
422	0	226.865696
423	1	226.886072
424	0	227.908888
425	1	227.929316
426	0	229.003992
427	1	229.024464
428	0	230.047032
429	1	230.067556
430	0	231.142212
431	1	231.162776
432	0	232.185088
433	1	232.205704
434	0	233.280348
435	1	233.301004
436	0	234.323060
437	1	234.343768
438	0	235.418408
439	1	235.439152
440	0	236.460952
441	1	236.481752
442	0	237.556388
443	1	237.577224
444	0	238.598764
445	1	238.619652
446	0	239.694256
447	1	239.715180
448	0	240.736472
449	1	240.757456
450	0	241.832040
451	1	241.853060
452	0	242.874104
453	1	242.895180
454	0	243.969748
455	1	243.990860
456	0	245.011664
457	1	245.032828
458	0	246.107384
459	1	246.128584
460	0	247.149144
461	1	247.170408
462	0	248.244924
463	1	248.266224
464	0	249.286504
465	1	249.307852
466	0	250.382392
467	1	250.403784
468	0	251.423800
469	1	251.445244
470	0	252.519768
471	1	252.541252
472	0	253.561024
473	1	253.582564
474	0	254.657064
475	1	254.678640
476	0	255.698168
477	1	255.719800
478	0	256.794280
479	1	256.815952
480	0	257.835264
481	1	257.856988
482	0	258.931456
483	1	258.953220
484	0	259.972260
485	1	259.994080
486	0	261.068548
487	1	261.090400
488	0	262.109216
489	1	262.131128
490	0	263.205576
491	1	263.227532
492	0	264.246052
493	1	264.268064
494	0	265.342496
495	1	265.364548
496	0	266.382848
497	1	266.404952
498	0	267.479356
499	1	267.501500
500	0	268.519548
501	1	268.541752
502	0	269.616152
503	1	269.638396
504	0	270.656188
505	1	270.678488
506	0	271.752876
507	1	271.775212
508	0	272.792752
509	1	272.815148
510	0	273.889524
511	1	273.911956
512	0	274.929240
513	1	274.951732
514	0	276.026104
515	1	276.048632
516	0	277.065652
517	1	277.088236
518	0	278.162612
519	1	278.185236
520	0	279.201992
521	1	279.224672
522	0	280.299044
523	1	280.321772
524	0	281.338272
525	1	281.361052
526	0	282.435412
527	1	282.458236
528	0	283.474480
529	1	283.497360
530	0	284.571716
531	1	284.594632
532	0	285.610620
533	1	285.633596
534	0	286.707948
535	1	286.730964
536	0	287.746700
537	1	287.769776
538	0	288.844116
539	1	288.867232
540	0	289.882704
541	1	289.905876
542	0	290.980228
543	1	291.003440
544	0	292.018648
545	1	292.041916
546	0	293.116256
547	1	293.139572
548	0	294.154528
549	1	294.177900
550	0	295.252240
551	1	295.275652
552	0	296.290376
553	1	296.313836
554	0	297.388168
555	1	297.411672
556	0	298.426144
557	1	298.449712
558	0	299.524036
559	1	299.547644
560	0	300.561848
561	1	300.585520
562	0	301.659844
563	1	301.683548
564	0	302.697492
565	1	302.721256
566	0	303.795572
567	1	303.819380
568	0	304.833068
569	1	304.856936
570	0	305.931260
571	1	305.955172
572	0	306.968572
573	1	306.992552
574	0	308.066876
575	1	308.090884
576	0	309.104028
577	1	309.128100
578	0	310.202428
579	1	310.226548
580	0	311.239416
581	1	311.263584
582	0	312.337920
583	1	312.362132
584	0	313.374740
585	1	313.399012
586	0	314.473344
587	1	314.497648
588	0	315.510016
589	1	315.534388
590	0	316.608692
591	1	316.633108
592	0	317.645228
593	1	317.669708
594	0	318.744008
595	1	318.768524
596	0	319.780388
597	1	319.804964
598	0	320.879236
599	1	320.903860
600	0	321.915476
601	1	321.940156
602	0	323.014456
603	1	323.039176
604	0	324.050544
605	1	324.075328
606	0	325.149612
607	1	325.174436
608	0	326.185536
609	1	326.210424
610	0	327.284708
611	1	327.309632
612	0	328.320456
613	1	328.345452
614	0	329.419736
615	1	329.444768
616	0	330.455340
617	1	330.480428
618	0	331.554708
619	1	331.579844
620	0	332.590156
621	1	332.615356
622	0	333.689640
623	1	333.714884
624	0	334.724920
625	1	334.750228
626	0	335.824512
627	1	335.849860
628	0	336.859636
629	1	336.885048
630	0	337.959336
631	1	337.984784
632	0	338.994316
633	1	339.019828
634	0	340.094104
635	1	340.119656
636	0	341.128912
637	1	341.154528
638	0	342.228860
639	1	342.254516
640	0	343.263456
641	1	343.289176
642	0	344.363536
643	1	344.389304
644	0	345.397968
645	1	345.423800
646	0	346.498132
647	1	346.524004
648	0	347.532416
649	1	347.558352
650	0	348.632700
651	1	348.658684
652	0	349.666852
653	1	349.692900
654	0	350.767192
655	1	350.793280
656	0	351.801200
657	1	351.827348
658	0	352.901644
659	1	352.927840
660	0	353.935536
661	1	353.961796
662	0	355.036068
663	1	355.062364
664	0	356.069804
665	1	356.096164
666	0	357.170428
667	1	357.196836
668	0	358.204008
669	1	358.230480
670	0	359.304756
671	1	359.331280
672	0	360.338168
673	1	360.364744
674	0	361.439072
675	1	361.465696
676	0	362.472292
677	1	362.498976
678	0	363.573308
679	1	363.600040
680	0	364.606344
681	1	364.633148
682	0	365.707488
683	1	365.734328
684	0	366.740364
685	1	366.767272
686	0	367.841632
687	1	367.868580
688	0	368.874320
689	1	368.901332
690	0	369.975712
691	1	370.002764
692	0	371.008260
693	1	371.035384
694	0	372.109744
695	1	372.136908
696	0	373.142136
697	1	373.169372
698	0	374.243680
699	1	374.270952
700	0	375.275996
701	1	375.303340
702	0	376.377640
703	1	376.405028
704	0	377.409784
705	1	377.437240
706	0	378.511576
707	1	378.539080
708	0	379.543460
709	1	379.571024
710	0	380.645464
711	1	380.673076
712	0	381.677232
713	1	381.704900
714	0	382.779296
715	1	382.807016
716	0	383.810900
717	1	383.838688
718	0	384.913048
719	1	384.940884
720	0	385.944528
721	1	385.972436
722	0	387.046816
723	1	387.074760
724	0	388.078104
725	1	388.106120
726	0	389.180500
727	1	389.208564
728	0	390.211672
729	1	390.239792
730	0	391.314124
731	1	391.342296
732	0	392.345192
733	1	392.373424
734	0	393.447736
735	1	393.476020
736	0	394.478604
737	1	394.506952
738	0	395.581360
739	1	395.609756
740	0	396.612024
741	1	396.640480
742	0	397.714928
743	1	397.743440
744	0	398.745392
745	1	398.773968
746	0	399.848440
747	1	399.877056
748	0	400.878728
749	1	400.907416
750	0	401.981892
751	1	402.010624
752	0	403.011984
753	1	403.040788
754	0	404.115260
755	1	404.144104
756	0	405.145244
757	1	405.174160
758	0	406.248628
759	1	406.277588
760	0	407.278456
761	1	407.307488
762	0	408.381936
763	1	408.411016
764	0	409.411644
765	1	409.440792
766	0	410.515240
767	1	410.544436
768	0	411.544752
769	1	411.574016
770	0	412.648504
771	1	412.677812
772	0	413.677840
773	1	413.707224
774	0	414.781716
775	1	414.811140
776	0	415.810876
777	1	415.840376
778	0	416.914884
779	1	416.944428
780	0	417.943880
781	1	417.973500
782	0	419.048004
783	1	419.077672
784	0	420.076824
785	1	420.106548
786	0	421.181084
787	1	421.210860
788	0	422.209744
789	1	422.239592
790	0	423.314136
791	1	423.344032
792	0	424.342624
793	1	424.372584
794	0	425.447156
795	1	425.477180
796	0	426.475452
797	1	426.505544
798	0	427.580048
799	1	427.610192
800	0	428.608220
801	1	428.638424
802	0	429.713016
803	1	429.743272
804	0	430.740928
805	1	430.771260
806	0	431.845908
807	1	431.876284
808	0	432.873640
809	1	432.904096
810	0	433.978788
811	1	434.009288
812	0	435.006336
813	1	435.036904
814	0	436.111636
815	1	436.142264
816	0	437.139008
817	1	437.169700
818	0	438.244440
819	1	438.275180
820	0	439.271656
821	1	439.302468
822	0	440.377188
823	1	440.408056
824	0	441.404272
825	1	441.435204
826	0	442.509900
827	1	442.540888
828	0	443.536840
829	1	443.567900
830	0	444.642596
831	1	444.673708
832	0	445.669396
833	1	445.700568
834	0	446.775284
835	1	446.806512
836	0	447.801908
837	1	447.833204
838	0	448.907920
839	1	448.939272
840	0	449.934368
841	1	449.965784
842	0	451.040536
843	1	451.072012
844	0	452.066772
845	1	452.098320
846	0	453.173088
847	1	453.204684
848	0	454.199176
849	1	454.230840
850	0	455.305588
851	1	455.337304
852	0	456.331516
853	1	456.363308
854	0	457.438096
855	1	457.469936
856	0	458.463852
857	1	458.495772
858	0	459.570564
859	1	459.602540
860	0	460.596124
861	1	460.628172
862	0	461.702992
863	1	461.735092
864	0	462.728404
865	1	462.760576
866	0	463.835392
867	1	463.867612
868	0	464.860628
869	1	464.892928
870	0	465.967772
871	1	466.000120
872	0	466.992812
873	1	467.025232
874	0	468.100152
875	1	468.132620
876	0	469.125004
877	1	469.157544
878	0	470.232484
879	1	470.265084
880	0	471.257164
881	1	471.289832
882	0	472.364736
883	1	472.397460
884	0	473.389288
