#Creator: pendulumSimpleEventBuffer
#Creation time: Wed Mar  2 16:15:06 2016
#Id	Edge	Time
#[]	[b]	[s]
0	0	0.323212
1	1	0.378392
2	0	1.307144
3	1	1.362568
4	0	2.455608
5	1	2.511108
6	0	3.439292
7	1	3.494976
8	0	4.588060
9	1	4.643840
10	0	5.571392
11	1	5.627344
12	0	6.720484
13	1	6.776540
14	0	7.703456
15	1	7.759660
16	0	8.853024
17	1	8.909356
18	0	9.835432
19	1	9.891924
20	0	10.985508
21	1	11.042116
22	0	11.967540
23	1	12.024304
24	0	13.117932
25	1	13.174820
26	0	14.099580
27	1	14.156596
28	0	15.250368
29	1	15.307528
30	0	16.231600
31	1	16.288904
32	0	17.382824
33	1	17.440248
34	0	18.363608
35	1	18.421188
36	0	19.515216
37	1	19.572928
38	0	20.495576
39	1	20.553436
40	0	21.647568
41	1	21.705552
42	0	22.627512
43	1	22.685640
44	0	23.779852
45	1	23.838120
46	0	24.759400
47	1	24.817816
48	0	25.912120
49	1	25.970660
50	0	26.891260
51	1	26.949944
52	0	28.044384
53	1	28.103208
54	0	29.023096
55	1	29.082072
56	0	30.176628
57	1	30.235724
58	0	31.154868
59	1	31.214112
60	0	32.308884
61	1	32.368256
62	0	33.286584
63	1	33.346132
64	0	34.441100
65	1	34.500768
66	0	35.418392
67	1	35.478224
68	0	36.573264
69	1	36.633220
70	0	37.550052
71	1	37.610152
72	0	38.705424
73	1	38.765676
74	0	39.681720
75	1	39.742124
76	0	40.837540
77	1	40.898064
78	0	41.813396
79	1	41.874064
80	0	42.969656
81	1	43.030460
82	0	43.945056
83	1	44.006028
84	0	45.101720
85	1	45.162812
86	0	46.076720
87	1	46.137968
88	0	47.233792
89	1	47.295172
90	0	48.208380
91	1	48.269924
92	0	49.365880
93	1	49.427540
94	0	50.339984
95	1	50.401804
96	0	51.497928
97	1	51.559872
98	0	52.471564
99	1	52.533680
100	0	53.629932
101	1	53.692176
102	0	54.603152
103	1	54.665576
104	0	55.761940
105	1	55.824476
106	0	56.734704
107	1	56.797408
108	0	57.893924
109	1	57.956768
110	0	58.866232
111	1	58.929252
112	0	60.025880
113	1	60.089040
114	0	60.997708
115	1	61.061008
116	0	62.157828
117	1	62.221264
118	0	63.129184
119	1	63.192792
120	0	64.289760
121	1	64.353532
122	0	65.260692
123	1	65.324596
124	0	66.421712
125	1	66.485760
126	0	67.392160
127	1	67.456372
