#Creator: pendulumSimpleEventBuffer
#Creation time: Wed Mar  2 16:15:06 2016
#Id	Edge	Time
#[]	[b]	[s]
0	0	0.144540
1	1	0.161892
2	0	1.195404
3	1	1.212864
4	0	2.290944
5	1	2.308428
6	0	3.341616
7	1	3.359144
8	0	4.437160
9	1	4.454728
10	0	5.487672
11	1	5.505284
12	0	6.583236
13	1	6.600880
14	0	7.633588
15	1	7.651280
16	0	8.729184
17	1	8.746908
18	0	9.779380
19	1	9.797148
20	0	10.875016
21	1	10.892816
22	0	11.925044
23	1	11.942900
24	0	13.020720
25	1	13.038600
26	0	14.070596
27	1	14.088524
28	0	15.166304
29	1	15.184260
30	0	16.216032
31	1	16.234036
32	0	17.311784
33	1	17.329816
34	0	18.361348
35	1	18.379436
36	0	19.457136
37	1	19.475244
38	0	20.506556
39	1	20.524720
40	0	21.602380
41	1	21.620572
42	0	22.651636
43	1	22.669880
44	0	23.747508
45	1	23.765776
46	0	24.796604
47	1	24.814928
48	0	25.892516
49	1	25.910868
50	0	26.941456
51	1	26.959860
52	0	28.037404
53	1	28.055832
54	0	29.086192
55	1	29.104672
56	0	30.182188
57	1	30.200696
58	0	31.230808
59	1	31.249372
60	0	32.326852
61	1	32.345444
62	0	33.375320
63	1	33.393964
64	0	34.471400
65	1	34.490072
66	0	35.519708
67	1	35.538436
68	0	36.615828
69	1	36.634584
70	0	37.663964
71	1	37.682772
72	0	38.760140
73	1	38.778976
74	0	39.808124
75	1	39.827016
76	0	40.904356
77	1	40.923276
78	0	41.952184
79	1	41.971156
80	0	43.048476
81	1	43.067480
82	0	44.096148
83	1	44.115204
84	0	45.192496
85	1	45.211580
86	0	46.240000
87	1	46.259136
88	0	47.336400
89	1	47.355560
90	0	48.383744
91	1	48.402964
92	0	49.480196
93	1	49.499444
94	0	50.527388
95	1	50.546696
96	0	51.623920
97	1	51.643240
98	0	52.670904
99	1	52.690296
100	0	53.767572
101	1	53.786984
102	0	54.814368
103	1	54.833840
104	0	55.911064
105	1	55.930560
106	0	56.957708
107	1	56.977268
108	0	58.054464
109	1	58.074056
110	0	59.100936
111	1	59.120572
112	0	60.197772
113	1	60.217436
114	0	61.244080
115	1	61.263812
116	0	62.340972
117	1	62.360728
118	0	63.387128
119	1	63.406944
120	0	64.484084
121	1	64.503924
122	0	65.530092
123	1	65.549996
124	0	66.627100
125	1	66.647028
126	0	67.672952
127	1	67.692940
128	0	68.770028
129	1	68.790036
130	0	69.815716
131	1	69.835788
132	0	70.912848
133	1	70.932948
134	0	71.958384
135	1	71.978548
136	0	73.055588
137	1	73.075776
138	0	74.100976
139	1	74.121224
140	0	75.198244
141	1	75.218516
142	0	76.243468
143	1	76.263800
144	0	77.340796
145	1	77.361160
146	0	78.385864
147	1	78.406284
148	0	79.483252
149	1	79.503704
150	0	80.528164
151	1	80.548676
152	0	81.625624
153	1	81.646160
154	0	82.670376
155	1	82.690976
156	0	83.767896
157	1	83.788524
158	0	84.812500
159	1	84.833192
160	0	85.910084
161	1	85.930800
162	0	86.954528
163	1	86.975296
164	0	88.052180
165	1	88.072984
166	0	89.096464
167	1	89.117332
168	0	90.194180
169	1	90.215072
170	0	91.238288
171	1	91.259248
172	0	92.336084
173	1	92.357068
174	0	93.380028
175	1	93.401072
176	0	94.477904
177	1	94.498976
178	0	95.521700
179	1	95.542836
180	0	96.619644
181	1	96.640808
182	0	97.663244
183	1	97.684476
184	0	98.761280
185	1	98.782544
186	0	99.804724
187	1	99.826044
188	0	100.902820
189	1	100.924172
190	0	101.946124
191	1	101.967536
192	0	103.044308
193	1	103.065752
194	0	104.087448
195	1	104.108944
196	0	105.185716
197	1	105.207248
198	0	106.228696
199	1	106.250292
200	0	107.327028
201	1	107.348660
202	0	108.369860
203	1	108.391552
204	0	109.468280
205	1	109.489996
206	0	110.510944
207	1	110.532724
208	0	111.609440
209	1	111.631252
210	0	112.651960
211	1	112.673832
212	0	113.750524
213	1	113.772436
214	0	114.792876
215	1	114.814848
216	0	115.891536
217	1	115.913540
218	0	116.933720
219	1	116.955788
220	0	118.032448
221	1	118.054544
222	0	119.074484
223	1	119.096640
224	0	120.173280
225	1	120.195468
226	0	121.215144
227	1	121.237392
228	0	122.314036
229	1	122.336320
230	0	123.355724
231	1	123.378072
232	0	124.454696
233	1	124.477072
234	0	125.496236
235	1	125.518684
236	0	126.595292
237	1	126.617772
238	0	127.636668
239	1	127.659204
240	0	128.735800
241	1	128.758376
242	0	129.777016
243	1	129.799656
244	0	130.876240
245	1	130.898908
246	0	131.917296
247	1	131.940032
248	0	133.016612
249	1	133.039388
250	0	134.057504
251	1	134.080332
252	0	135.156896
253	1	135.179764
254	0	136.197632
255	1	136.220560
256	0	137.297116
257	1	137.320088
258	0	138.337700
259	1	138.360720
260	0	139.437284
261	1	139.460348
262	0	140.477708
263	1	140.500836
264	0	141.577364
265	1	141.600524
266	0	142.617652
267	1	142.640880
268	0	143.717380
269	1	143.740644
270	0	144.757492
271	1	144.780824
272	0	145.857336
273	1	145.880696
274	0	146.897284
275	1	146.920708
276	0	147.997216
277	1	148.020680
278	0	149.037000
279	1	149.060532
280	0	150.137032
281	1	150.160600
282	0	151.176640
283	1	151.200272
284	0	152.276768
285	1	152.300436
286	0	153.316216
287	1	153.339948
288	0	154.416428
289	1	154.440192
290	0	155.455716
291	1	155.479552
292	0	156.556024
293	1	156.579896
294	0	157.595152
295	1	157.619096
296	0	158.695548
297	1	158.719516
298	0	159.734508
299	1	159.758548
300	0	160.835004
301	1	160.859080
302	0	161.873808
303	1	161.897956
304	0	162.974384
305	1	162.998560
306	0	164.012976
307	1	164.037216
308	0	165.113712
309	1	165.137984
310	0	166.152112
311	1	166.176460
312	0	167.252948
313	1	167.277320
314	0	168.291196
315	1	168.315648
316	0	169.392132
317	1	169.416616
318	0	170.430220
319	1	170.454776
320	0	171.531236
321	1	171.555824
322	0	172.569220
323	1	172.593892
324	0	173.670272
325	1	173.694968
326	0	174.708108
327	1	174.732880
328	0	175.809312
329	1	175.834112
330	0	176.846968
331	1	176.871852
332	0	177.948244
333	1	177.973152
334	0	178.985696
335	1	179.010676
336	0	180.087104
337	1	180.112120
338	0	181.124364
339	1	181.149456
340	0	182.225904
341	1	182.251032
342	0	183.262980
343	1	183.288184
344	0	184.364624
345	1	184.389864
346	0	185.401540
347	1	185.426848
348	0	186.503292
349	1	186.528636
350	0	187.540036
351	1	187.565456
352	0	188.641900
353	1	188.667356
354	0	189.678468
355	1	189.704004
356	0	190.780452
357	1	190.806012
358	0	191.816848
359	1	191.842484
360	0	192.918948
361	1	192.944616
362	0	193.955180
363	1	193.980932
364	0	195.057392
365	1	195.083172
366	0	196.093468
367	1	196.119328
368	0	197.195756
369	1	197.221652
370	0	198.231700
371	1	198.257672
372	0	199.334084
373	1	199.360080
374	0	200.369848
375	1	200.395928
