#Creator: pendulumSimpleEventBuffer
#Creation time: Wed Mar  2 16:15:06 2016
#Id	Edge	Time
#[]	[b]	[s]
348	0	186.785128
349	1	186.807600
350	0	187.823892
351	1	187.846428
352	0	188.925580
353	1	188.948148
354	0	189.964164
355	1	189.986804
356	0	191.065960
357	1	191.088624
358	0	192.104364
359	1	192.127092
360	0	193.206264
361	1	193.229032
362	0	194.244480
363	1	194.267316
364	0	195.346496
365	1	195.369356
366	0	196.384524
367	1	196.407456
368	0	197.486656
369	1	197.509616
370	0	198.524500
371	1	198.547532
372	0	199.626728
373	1	199.649784
374	0	200.664400
375	1	200.687532
376	0	201.766712
377	1	201.789876
378	0	202.804240
379	1	202.827468
380	0	203.906616
381	1	203.929872
382	0	204.944024
383	1	204.967356
384	0	206.046476
385	1	206.069828
386	0	207.083728
387	1	207.107160
388	0	208.186244
389	1	208.209728
390	0	209.223364
391	1	209.246892
392	0	210.325964
393	1	210.349524
394	0	211.362904
395	1	211.386532
396	0	212.465612
397	1	212.489268
398	0	213.502396
399	1	213.526124
400	0	214.605192
401	1	214.628956
402	0	215.641812
403	1	215.665636
404	0	216.744716
405	1	216.768576
406	0	217.781152
407	1	217.805092
408	0	218.884172
409	1	218.908132
410	0	219.920416
411	1	219.944448
412	0	221.023544
413	1	221.047608
414	0	222.059600
415	1	222.083740
416	0	223.162828
417	1	223.187000
418	0	224.198724
419	1	224.222972
420	0	225.302068
421	1	225.326344
422	0	226.337792
423	1	226.362148
424	0	227.441248
425	1	227.465624
426	0	228.476796
427	1	228.501248
428	0	229.580368
429	1	229.604856
430	0	230.615736
431	1	230.640296
432	0	231.719420
433	1	231.744004
434	0	232.754584
435	1	232.779248
436	0	233.858392
437	1	233.883092
438	0	234.893388
439	1	234.918160
440	0	235.997276
441	1	236.022080
442	0	237.032100
443	1	237.056980
444	0	238.136116
445	1	238.161020
446	0	239.170756
447	1	239.195736
448	0	240.274900
449	1	240.299916
450	0	241.309364
451	1	241.334456
452	0	242.413620
453	1	242.438744
454	0	243.447912
455	1	243.473108
456	0	244.552292
457	1	244.577520
458	0	245.586392
459	1	245.611700
460	0	246.690892
461	1	246.716232
462	0	247.724808
463	1	247.750228
464	0	248.829420
465	1	248.854868
466	0	249.863172
467	1	249.888696
468	0	250.967896
469	1	250.993448
470	0	252.001460
471	1	252.027096
472	0	253.106308
473	1	253.131968
474	0	254.139696
475	1	254.165440
476	0	255.244660
477	1	255.270432
478	0	256.277884
479	1	256.303736
480	0	257.382972
481	1	257.408856
482	0	258.416024
483	1	258.441988
484	0	259.521220
485	1	259.547216
486	0	260.554088
487	1	260.580164
488	0	261.659412
489	1	261.685520
490	0	262.692112
491	1	262.718300
492	0	263.797548
493	1	263.823764
494	0	264.830076
495	1	264.856376
496	0	265.935648
497	1	265.961980
498	0	266.967984
499	1	266.994396
500	0	268.073692
501	1	268.100136
502	0	269.105844
503	1	269.132368
504	0	270.211688
505	1	270.238236
506	0	271.243660
507	1	271.270292
508	0	272.349684
509	1	272.376352
510	0	273.381404
511	1	273.408164
512	0	274.487552
513	1	274.514336
514	0	275.519160
515	1	275.546028
516	0	276.625328
517	1	276.652228
518	0	277.656796
519	1	277.683788
520	0	278.763128
521	1	278.790144
522	0	279.794380
523	1	279.821480
524	0	280.900848
525	1	280.927984
526	0	281.931920
527	1	281.959132
528	0	283.038508
529	1	283.065752
530	0	284.069384
531	1	284.096720
532	0	285.176112
533	1	285.203472
534	0	286.206812
535	1	286.234264
536	0	287.313672
537	1	287.341160
538	0	288.344176
539	1	288.371748
540	0	289.451204
541	1	289.478800
542	0	290.481504
543	1	290.509192
544	0	291.588692
545	1	291.616412
546	0	292.618780
547	1	292.646588
548	0	293.726096
549	1	293.753944
550	0	294.756012
551	1	294.783940
