000000.#Creator: pendulumviewEventBuffer
#Creation time: Wed Feb 24 16:26:48 2016
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
13.155	434	13.180	571
13.205	444	13.230	537
13.256	423	13.282	497
13.306	445	13.332	459
13.357	411	13.383	420
13.408	450	13.433	385
13.459	410	13.484	354
13.509	448	13.535	329
13.560	412	13.586	313
13.610	445	13.636	305
13.662	415	13.687	305
13.712	437	13.737	314
13.763	426	13.789	334
13.813	433	13.839	358
13.864	435	13.890	388
13.915	429	13.940	425
13.966	445	13.991	459
14.016	423	14.041	501
14.067	453	14.093	538
14.117	413	14.143	574
14.168	452	14.194	604
14.219	419	14.244	627
14.270	454	14.295	643
14.320	416	14.346	649
14.371	427	14.397	649
14.421	412	14.447	639
14.473	442	14.498	621
14.523	452	14.548	596
14.574	434	14.600	567
14.624	440	14.650	529
14.675	423	14.701	494
14.726	447	14.751	453
14.777	411	14.802	417
14.827	447	14.852	383
14.878	406	14.904	353
14.928	436	14.954	330
14.979	409	15.005	314
15.030	443	15.055	308
15.081	415	15.106	309
15.132	438	15.157	320
15.182	430	15.208	338
15.233	433	15.258	361
15.284	437	15.309	396
15.335	430	15.359	430
15.385	433	15.411	463
15.436	458	15.461	503
15.486	450	15.512	542
15.538	414	15.562	575
15.588	414	15.613	604
15.639	410	15.663	627
15.689	445	15.715	641
15.740	429	15.765	647
15.790	445	15.816	646
15.842	427	15.866	635
15.892	440	15.917	617
15.943	439	15.968	595
15.993	434	16.019	563
16.044	437	16.069	527
16.095	417	16.120	489
16.146	444	16.170	454
16.196	417	16.222	415
16.247	450	16.272	381
16.297	412	16.323	353
16.349	448	16.373	330
16.399	417	16.424	316
16.450	442	16.475	311
16.500	421	16.526	312
16.551	439	16.576	323
16.601	431	16.627	341
16.653	433	16.677	368
16.703	439	16.728	395
16.754	431	16.779	433
16.804	448	16.830	473
16.855	424	16.880	508
16.906	453	16.931	543
16.957	420	16.981	577
17.007	455	17.033	605
17.058	420	17.083	627
17.108	451	17.134	640
17.160	423	17.184	645
17.210	448	17.235	643
17.261	429	17.286	632
17.311	441	17.337	613
17.362	435	17.387	587
17.412	434	17.438	557
17.464	440	17.488	524
17.514	426	17.539	485
17.565	447	17.590	446
17.615	417	17.641	412
17.666	450	17.691	381
17.717	409	17.742	352
17.768	450	17.792	331
17.818	413	17.844	318
17.869	445	17.894	313
17.919	418	17.945	316
17.971	441	17.995	328
18.021	429	18.046	345
18.072	436	18.097	372
18.122	437	18.148	405
