#Creator: videoclickEventBuffer
#Creation time: Wed May  4 16:29:46 2016
#Frame	Time	x1	y1	x2	y2
#[]	[s]	[pixel]	[pixel]	[pixel]	[pixel]
3	0.080	258	87	364	147
4	0.120	304	132	364	145
5	0.160	337	176	381	143
6	0.200	358	220	409	140
7	0.240	379	264	436	139
8	0.280	399	309	463	136
9	0.320	419	353	489	133
10	0.360	439	395	514	131
11	0.400	459	438	540	130
